nome n m c fila extractMin insert dk 
NY 264346 733846 36946 1LVBQ 298989 298988 0
NY 264346 733846 36946 2LVBQ 298988 298987 0
NY 264346 733846 36946 3LVBQ 339321 339320 0
NY 264346 733846 36946 4LVBQ 329590 329589 0
NY 264346 733846 36946 5LVBQ 326749 326748 0
NY 264346 733846 36946 6LVBQ 299098 299097 0
NY 264346 733846 36946 1LVBQDK 264346 264345 34643
NY 264346 733846 36946 2LVBQDK 264346 264345 34642
NY 264346 733846 36946 3LVBQDK 288896 288895 50425
NY 264346 733846 36946 4LVBQDK 282912 282911 46678
NY 264346 733846 36946 5LVBQDK 281073 281072 45676
NY 264346 733846 36946 6LVBQDK 264362 264361 34736
NY 264346 733846 36946 BINH 298986 298985 0
NY 264346 733846 36946 FIBH 264346 264345 34645
BAY 321270 800172 94305 1LVBQ 346440 346439 0
BAY 321270 800172 94305 2LVBQ 346435 346434 0
BAY 321270 800172 94305 3LVBQ 376482 376481 0
BAY 321270 800172 94305 4LVBQ 578128 578127 0
BAY 321270 800172 94305 5LVBQ 366731 366730 0
BAY 321270 800172 94305 6LVBQ 346544 346543 0
BAY 321270 800172 94305 1LVBQDK 321270 321269 25170
BAY 321270 800172 94305 2LVBQDK 321270 321269 25165
BAY 321270 800172 94305 3LVBQDK 339301 339300 37181
BAY 321270 800172 94305 4LVBQDK 510622 510621 67506
BAY 321270 800172 94305 5LVBQDK 333204 333203 33527
BAY 321270 800172 94305 6LVBQDK 321290 321289 25254
BAY 321270 800172 94305 BINH 346437 346436 0
BAY 321270 800172 94305 FIBH 321270 321269 25170
CAL 1890815 4657742 215354 1LVBQ 2041260 2041259 0
CAL 1890815 4657742 215354 2LVBQ 2041263 2041262 0
CAL 1890815 4657742 215354 3LVBQ 2174602 2174601 0
CAL 1890815 4657742 215354 4LVBQ 3046376 3046375 0
CAL 1890815 4657742 215354 5LVBQ 2134265 2134264 0
CAL 1890815 4657742 215354 6LVBQ 2132657 2132656 0
CAL 1890815 4657742 215354 1LVBQDK 1890815 1890814 150445
CAL 1890815 4657742 215354 2LVBQDK 1890815 1890814 150448
CAL 1890815 4657742 215354 3LVBQDK 1974541 1974540 200061
CAL 1890815 4657742 215354 4LVBQDK 2708610 2708609 337766
CAL 1890815 4657742 215354 5LVBQDK 1949008 1949007 185257
CAL 1890815 4657742 215354 6LVBQDK 1947988 1947987 184669
CAL 1890815 4657742 215354 BINH 2041264 2041263 0
CAL 1890815 4657742 215354 FIBH 1890815 1890814 150437
COL 435666 1057066 137384 1LVBQ 466602 466601 0
COL 435666 1057066 137384 2LVBQ 466600 466599 0
COL 435666 1057066 137384 3LVBQ 492992 492991 0
COL 435666 1057066 137384 4LVBQ 651260 651259 0
COL 435666 1057066 137384 5LVBQ 487957 487956 0
COL 435666 1057066 137384 6LVBQ 492649 492648 0
COL 435666 1057066 137384 1LVBQDK 435666 435665 30936
COL 435666 1057066 137384 2LVBQDK 435666 435665 30934
COL 435666 1057066 137384 3LVBQDK 452483 452482 40509
COL 435666 1057066 137384 4LVBQDK 584980 584979 66280
