nome n m c fila cpu_time wall_time l1 l2 llc cycles inst dtlb page_faults rss branch_inst branch_miss
NY 264346 733846 36946 1LVBQ 79 79 3728319 2361577 149158 350157876 743297595 36114 1849 51456 107291011 956653
NY 264346 733846 36946 1LVBQ 79 79 3868715 2449122 146766 349889623 747508937 34424 1167 53416 108123627 1012986
NY 264346 733846 36946 1LVBQ 77 77 3703480 2371704 145376 344293462 742262493 32549 749 53456 107183515 950130
NY 264346 733846 36946 1LVBQ 76 77 3733814 2389058 143843 344583098 742262310 33104 517 54492 107183333 950120
NY 264346 733846 36946 1LVBQ 77 77 3749685 2410203 145645 346139418 742262537 32181 0 54492 107182938 949806
NY 264346 733846 36946 1LVBQ 76 76 3750139 2411258 143724 343890085 742262513 32328 0 54492 107182951 950439
NY 264346 733846 36946 1LVBQ 76 76 3773833 2427202 144345 344781695 742262150 33159 0 54492 107182867 950516
NY 264346 733846 36946 1LVBQ 76 76 3750258 2415562 146258 345826401 742262218 34143 0 54492 107182908 950407
NY 264346 733846 36946 1LVBQ 76 76 3750909 2412397 143044 346851362 742262076 32826 0 54492 107182845 950477
NY 264346 733846 36946 1LVBQ 78 78 3751664 2420339 146088 350727333 742262199 33268 0 54492 107182894 949735
NY 264346 733846 36946 2LVBQ 84 84 3053156 1332286 105933 380446988 949004046 26128 484 54492 139848514 1162069
NY 264346 733846 36946 2LVBQ 84 84 3078071 1354395 107221 380166276 948913753 24802 0 54492 139825694 1160897
NY 264346 733846 36946 2LVBQ 84 84 3069797 1352535 105576 380222365 948925746 26126 258 54492 139829728 1160315
NY 264346 733846 36946 2LVBQ 83 83 3080793 1360867 105285 378296075 948907401 25570 0 54492 139822303 1161258
NY 264346 733846 36946 2LVBQ 83 83 3079530 1357778 104653 377929053 948928385 25244 0 54492 139830479 1159896
NY 264346 733846 36946 2LVBQ 83 83 3077293 1359088 105320 377972501 948908899 24940 0 54492 139823782 1161688
NY 264346 733846 36946 2LVBQ 83 83 3088151 1366030 105705 377176277 948947921 25187 0 54492 139832834 1159545
NY 264346 733846 36946 2LVBQ 84 84 3082124 1357370 105171 381483062 948893778 25241 0 54492 139820217 1160634
NY 264346 733846 36946 2LVBQ 84 84 3078701 1361964 106469 378703235 948941705 24992 0 54492 139831895 1161657
NY 264346 733846 36946 2LVBQ 84 84 3086533 1357596 104917 380359683 948885459 26326 0 54492 139817584 1161477
NY 264346 733846 36946 3LVBQ 83 83 2308939 1211929 102990 376305938 941086628 22552 231 54492 128632329 835373
NY 264346 733846 36946 3LVBQ 84 84 2292278 1198965 103736 378722762 941083851 23483 517 54492 128632226 834977
NY 264346 733846 36946 3LVBQ 83 83 2295172 1195567 102400 375663717 941084516 23827 516 54492 128632692 833896
NY 264346 733846 36946 3LVBQ 83 83 2325393 1229884 101612 378203609 941083794 23036 0 54492 128631725 833958
NY 264346 733846 36946 3LVBQ 83 83 2336794 1231617 101634 377138007 941076894 23924 0 54492 128630200 834665
NY 264346 733846 36946 3LVBQ 84 84 2330754 1229589 101584 378356089 941075013 22973 0 54492 128629670 834583
NY 264346 733846 36946 3LVBQ 84 84 2346920 1235374 107364 379571931 941073200 23237 0 54492 128629141 835058
NY 264346 733846 36946 3LVBQ 84 84 2323405 1231792 103596 377387225 941074263 24846 0 54492 128629579 835104
NY 264346 733846 36946 3LVBQ 84 84 2332267 1231771 103530 378463847 941083509 23501 0 54492 128631544 834348
NY 264346 733846 36946 3LVBQ 83 83 2330513 1230255 101864 377595065 941080276 24292 0 54492 128630893 833332
NY 264346 733846 36946 4LVBQ 88 88 2132122 1213949 105037 392557732 992637173 22750 226 54492 133363806 818160
NY 264346 733846 36946 4LVBQ 88 88 2110336 1197096 104476 394259161 992633192 22879 517 54492 133363156 817271
NY 264346 733846 36946 4LVBQ 88 88 2114905 1199187 103423 393789185 992631171 24259 516 54492 133362603 817143
NY 264346 733846 36946 4LVBQ 87 87 2125542 1220876 103283 391107430 992630420 23074 0 54492 133362098 818800
NY 264346 733846 36946 4LVBQ 87 87 2126490 1227820 104682 394413148 992632439 24356 0 54492 133362515 817664
NY 264346 733846 36946 4LVBQ 87 87 2136899 1229591 102557 391583317 992630546 23370 0 54492 133362076 817187
NY 264346 733846 36946 4LVBQ 87 87 2128832 1228498 103084 390374365 992631940 23297 0 54492 133362310 817292
NY 264346 733846 36946 4LVBQ 87 87 2135439 1228328 104656 391652373 992632616 22895 0 54492 133362678 817978
NY 264346 733846 36946 4LVBQ 87 87 2149180 1235736 105914 394312920 992633420 24808 0 54492 133362780 818475
NY 264346 733846 36946 4LVBQ 88 88 2119588 1226360 106947 395344912 992633172 22401 0 54492 133362810 817431
NY 264346 733846 36946 5LVBQ 87 87 2165866 1204583 102514 392034977 995428342 22705 226 54492 132927626 811081
NY 264346 733846 36946 5LVBQ 87 88 2086071 1169791 104616 391866824 995424590 22640 517 54492 132926927 809225
NY 264346 733846 36946 5LVBQ 87 87 2106287 1173681 102259 391439594 995422819 23516 516 54492 132926517 809713
