nome n m c fila mem
GEN5 100000 500000 200000 2LVBQ 4190208
GEN5 100000 500000 200000 3LVBQ 5074944
GEN5 100000 500000 200000 4LVBQ 4374528
GEN5 100000 500000 200000 5LVBQ 4169728
GEN5 100000 500000 200000 6LVBQ 4268032
GEN5 100000 500000 200000 2LVBQDK 4120576
GEN5 100000 500000 200000 3LVBQDK 4636672
GEN5 100000 500000 200000 4LVBQDK 4636672
GEN5 100000 500000 200000 5LVBQDK 4767744
GEN5 100000 500000 200000 6LVBQDK 4767744
GEN5 100000 500000 200000 BINH 3719168
GEN5 100000 500000 200000 FIBH 5369856
GEN6 100000 500000 1999996 2LVBQ 4907008
GEN6 100000 500000 1999996 3LVBQ 5701632
GEN6 100000 500000 1999996 4LVBQ 4317184
GEN6 100000 500000 1999996 5LVBQ 4874240
GEN6 100000 500000 1999996 6LVBQ 5304320
GEN6 100000 500000 1999996 2LVBQDK 4136960
GEN6 100000 500000 1999996 3LVBQDK 4767744
GEN6 100000 500000 1999996 4LVBQDK 4636672
GEN6 100000 500000 1999996 5LVBQDK 4636672
GEN6 100000 500000 1999996 6LVBQDK 4636672
GEN6 100000 500000 1999996 BINH 3719168
GEN6 100000 500000 1999996 FIBH 5345280
GEN7 100000 500000 19999959 2LVBQ 4714496
GEN7 100000 500000 19999959 3LVBQ 4321280
GEN7 100000 500000 19999959 4LVBQ 4886528
GEN7 100000 500000 19999959 5LVBQ 3891200
GEN7 100000 500000 19999959 6LVBQ 3981312
GEN7 100000 500000 19999959 2LVBQDK 4231168
GEN7 100000 500000 19999959 3LVBQDK 4767744
GEN7 100000 500000 19999959 4LVBQDK 4628480
GEN7 100000 500000 19999959 5LVBQDK 4628480
GEN7 100000 500000 19999959 6LVBQDK 4628480
GEN7 100000 500000 19999959 BINH 3629056
GEN7 100000 500000 19999959 FIBH 5369856
GEN8 100000 500000 199999581 2LVBQ 6418432
GEN8 100000 500000 199999581 3LVBQ 4497408
GEN8 100000 500000 199999581 4LVBQ 4960256
GEN8 100000 500000 199999581 5LVBQ 4153344
GEN8 100000 500000 199999581 6LVBQ 4591616
GEN8 100000 500000 199999581 2LVBQDK 4624384
GEN8 100000 500000 199999581 3LVBQDK 4788224
GEN8 100000 500000 199999581 4LVBQDK 4763648
GEN8 100000 500000 199999581 5LVBQDK 4632576
GEN8 100000 500000 199999581 6LVBQDK 4763648
GEN8 100000 500000 199999581 BINH 3715072
GEN8 100000 500000 199999581 FIBH 5353472
GEN9 100000 500000 1999995806 2LVBQ 10534912
GEN9 100000 500000 1999995806 3LVBQ 4976640
GEN9 100000 500000 1999995806 4LVBQ 4595712
GEN9 100000 500000 1999995806 5LVBQ 4235264
GEN9 100000 500000 1999995806 6LVBQ 4747264
GEN9 100000 500000 1999995806 2LVBQDK 5148672
GEN9 100000 500000 1999995806 3LVBQDK 4677632
GEN9 100000 500000 1999995806 4LVBQDK 4763648
GEN9 100000 500000 1999995806 5LVBQDK 4628480
GEN9 100000 500000 1999995806 6LVBQDK 4759552
GEN9 100000 500000 1999995806 BINH 3710976
GEN9 100000 500000 1999995806 FIBH 5353472
