nome n m c fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
GEN5 100000 500000 200000 1LVBQ 62 62 2696445 4133094 246885 255252611 426347850 300700 2505 62279355 470794
GEN5 100000 500000 200000 1LVBQ 63 63 3377456 5048873 250243 263647719 434953257 332550 1537 63952126 540976
GEN5 100000 500000 200000 1LVBQ 61 61 2771365 4248998 248532 253714053 426938663 304683 1533 62533740 465782
GEN5 100000 500000 200000 1LVBQ 59 59 2864447 4337572 242929 252065709 426937152 303104 0 62532239 463274
GEN5 100000 500000 200000 1LVBQ 59 59 2846061 4329030 240160 250452497 426937367 304335 272 62532490 462829
GEN5 100000 500000 200000 1LVBQ 60 60 2764452 4263624 243036 253520331 426939376 303458 1699 62534102 465789
GEN5 100000 500000 200000 1LVBQ 60 60 2769080 4264396 244600 252481050 426939034 303027 1536 62533888 464673
GEN5 100000 500000 200000 1LVBQ 63 63 2761553 4226809 265944 260764574 426939872 303878 1699 62534214 464866
GEN5 100000 500000 200000 1LVBQ 60 60 2768217 4262756 245421 253012793 426939055 302362 1536 62533872 464089
GEN5 100000 500000 200000 1LVBQ 61 61 2764266 4269586 248638 254023068 426939214 305193 1699 62534060 464788
GEN5 100000 500000 200000 2LVBQ 44 44 2535399 2753841 96105 197640934 422879219 128727 0 61860412 390165
GEN5 100000 500000 200000 2LVBQ 42 42 2478594 2642209 79850 190554534 421831525 126938 0 61620861 389920
GEN5 100000 500000 200000 2LVBQ 42 42 2482473 2639790 79399 190171568 421869056 126785 0 61625739 389535
GEN5 100000 500000 200000 2LVBQ 42 42 2483447 2648364 79078 190026124 421873927 125578 0 61626761 389636
GEN5 100000 500000 200000 2LVBQ 42 42 2477456 2638642 79458 190871418 421869255 126495 0 61625365 388984
GEN5 100000 500000 200000 2LVBQ 43 43 2469262 2619736 81038 193726370 421833724 118756 0 61619782 390036
GEN5 100000 500000 200000 2LVBQ 42 42 2473929 2641223 78256 191675784 421836719 119128 0 61620539 389952
GEN5 100000 500000 200000 2LVBQ 42 42 2467534 2646417 80227 191539268 421828135 117601 0 61619251 390210
GEN5 100000 500000 200000 2LVBQ 42 42 2468953 2636021 80454 188898715 421820374 118517 0 61617338 389903
