nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 73 73 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 73 73 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 72 72 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 71 71 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 71 71 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 71 71 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 73 73 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 71 71 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 71 71 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 298989 0 1227481 1LVBQ 73 73 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 80 80 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 80 80 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 298988 0 1421895 2LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 80 80 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 80 80 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 78 78 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 78 78 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 339321 0 111915 3LVBQ 79 79 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 329590 329590 0 107894 4LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 84 84 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 326749 326749 0 108686 5LVBQ 83 83 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 92 92 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 92 92 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 92 92 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 92 92 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 93 93 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 91 91 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 91 91 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 92 92 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 92 92 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 91 91 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 58 58 0 0 0 0 0 0 0 0 0
