nome n m c fila mem
MEM3 100000 500000 1000 2LVBQ 38273024
MEM3 100000 500000 1000 3LVBQ 38895616
MEM3 100000 500000 1000 4LVBQ 40071168
MEM3 100000 500000 1000 5LVBQ 40075264
MEM3 100000 500000 1000 6LVBQ 40165376
MEM3 100000 500000 1000 2LVBQDK 37879808
MEM3 100000 500000 1000 3LVBQDK 38535168
MEM3 100000 500000 1000 4LVBQDK 38404096
MEM3 100000 500000 1000 5LVBQDK 38535168
MEM3 100000 500000 1000 6LVBQDK 38404096
MEM3 100000 500000 1000 BINH 37486592
MEM3 100000 500000 1000 FIBH 39190528
MEM4 100000 500000 10000 2LVBQ 38666240
MEM4 100000 500000 10000 3LVBQ 38268928
MEM4 100000 500000 10000 4LVBQ 40136704
MEM4 100000 500000 10000 5LVBQ 39469056
MEM4 100000 500000 10000 6LVBQ 39366656
MEM4 100000 500000 10000 2LVBQDK 37748736
MEM4 100000 500000 10000 3LVBQDK 38535168
MEM4 100000 500000 10000 4LVBQDK 38535168
MEM4 100000 500000 10000 5LVBQDK 38141952
MEM4 100000 500000 10000 6LVBQDK 38404096
MEM4 100000 500000 10000 BINH 37355520
MEM4 100000 500000 10000 FIBH 39190528
MEM5 100000 500000 100000 2LVBQ 39190528
MEM5 100000 500000 100000 3LVBQ 38666240
MEM5 100000 500000 100000 4LVBQ 39964672
MEM5 100000 500000 100000 5LVBQ 39616512
MEM5 100000 500000 100000 6LVBQ 39333888
MEM5 100000 500000 100000 2LVBQDK 37748736
MEM5 100000 500000 100000 3LVBQDK 38535168
MEM5 100000 500000 100000 4LVBQDK 38404096
MEM5 100000 500000 100000 5LVBQDK 38535168
MEM5 100000 500000 100000 6LVBQDK 38404096
MEM5 100000 500000 100000 BINH 37355520
MEM5 100000 500000 100000 FIBH 39190528
MEM6 100000 500000 999998 2LVBQ 39714816
MEM6 100000 500000 999998 3LVBQ 39452672
MEM6 100000 500000 999998 4LVBQ 40804352
MEM6 100000 500000 999998 5LVBQ 41009152
MEM6 100000 500000 999998 6LVBQ 41013248
MEM6 100000 500000 999998 2LVBQDK 37879808
MEM6 100000 500000 999998 3LVBQDK 38404096
MEM6 100000 500000 999998 4LVBQDK 38404096
MEM6 100000 500000 999998 5LVBQDK 38273024
MEM6 100000 500000 999998 6LVBQDK 38404096
MEM6 100000 500000 999998 BINH 37355520
MEM6 100000 500000 999998 FIBH 39190528
MEM7 100000 500000 9999980 2LVBQ 39845888
MEM7 100000 500000 9999980 3LVBQ 39239680
MEM7 100000 500000 9999980 4LVBQ 38912000
MEM7 100000 500000 9999980 5LVBQ 38457344
MEM7 100000 500000 9999980 6LVBQ 39051264
MEM7 100000 500000 9999980 2LVBQDK 37879808
MEM7 100000 500000 9999980 3LVBQDK 38535168
MEM7 100000 500000 9999980 4LVBQDK 38404096
MEM7 100000 500000 9999980 5LVBQDK 38535168
MEM7 100000 500000 9999980 6LVBQDK 38535168
MEM7 100000 500000 9999980 BINH 37355520
MEM7 100000 500000 9999980 FIBH 39190528
MEM8 100000 500000 99999791 2LVBQ 40108032
MEM8 100000 500000 99999791 3LVBQ 40284160
MEM8 100000 500000 99999791 4LVBQ 38928384
MEM8 100000 500000 99999791 5LVBQ 38977536
MEM8 100000 500000 99999791 6LVBQ 38977536
MEM8 100000 500000 99999791 2LVBQDK 38010880
MEM8 100000 500000 99999791 3LVBQDK 38535168
MEM8 100000 500000 99999791 4LVBQDK 38404096
MEM8 100000 500000 99999791 5LVBQDK 38535168
MEM8 100000 500000 99999791 6LVBQDK 38535168
MEM8 100000 500000 99999791 BINH 37355520
MEM8 100000 500000 99999791 FIBH 39190528
MEM9 100000 500000 999997903 2LVBQ 38797312
MEM9 100000 500000 999997903 3LVBQ 41553920
MEM9 100000 500000 999997903 4LVBQ 39059456
MEM9 100000 500000 999997903 5LVBQ 41029632
MEM9 100000 500000 999997903 6LVBQ 41189376
MEM9 100000 500000 999997903 2LVBQDK 38404096
MEM9 100000 500000 999997903 3LVBQDK 38666240
MEM9 100000 500000 999997903 4LVBQDK 38404096
MEM9 100000 500000 999997903 5LVBQDK 38535168
MEM9 100000 500000 999997903 6LVBQDK 38404096
MEM9 100000 500000 999997903 BINH 37355520
MEM9 100000 500000 999997903 FIBH 39190528
