nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
MEM3 100000 500000 1000 144958 144958 0 1690 1LVBQ 33 33 85217160 1811221 508421 76284 85414762 193450069 49055 1075 35472835 203658
MEM3 100000 500000 1000 144886 144886 0 1799 1LVBQ 32 32 84210891 1803942 492012 71966 82822434 184996005 53382 0 34328637 189683
MEM3 100000 500000 1000 144715 144715 0 1793 1LVBQ 32 32 84367895 1882264 513856 77474 71683862 167162924 43154 0 34272479 184966
MEM3 100000 500000 1000 144931 144931 0 1926 1LVBQ 33 33 87708085 1883373 508116 82353 77833515 175331924 43223 0 35147627 191146
MEM3 100000 500000 1000 144557 144557 0 2069 1LVBQ 33 33 85986832 1837700 503119 75612 85203804 192695703 49064 410 35553984 202272
MEM3 100000 500000 1000 144787 144787 0 1951 1LVBQ 33 33 84972679 1815810 494710 86889 85398997 182932688 50337 0 34434961 188586
MEM3 100000 500000 1000 144558 144558 0 1799 1LVBQ 32 32 84298371 1817405 510680 77767 73887210 167944080 46275 0 34278681 184636
MEM3 100000 500000 1000 145152 145152 0 2197 1LVBQ 32 32 87643182 1874094 506238 73657 77376499 178580857 43143 0 35550399 194279
MEM3 100000 500000 1000 144809 144809 0 2248 1LVBQ 32 32 84594387 1809660 493186 74139 86176962 190917554 51308 0 35094991 197140
MEM3 100000 500000 1000 144862 144862 0 2040 1LVBQ 32 32 84604179 1821188 503062 78953 76479057 169832303 47387 0 34323770 185188
MEM3 100000 500000 1000 146041 146041 0 5106 2LVBQ 35 35 104724195 1590022 484734 69731 87159323 216684847 39240 139 41783724 176135
MEM3 100000 500000 1000 154933 154933 0 5089 2LVBQ 36 36 109325831 1656292 509803 70270 91734637 228382487 38969 0 43137082 187561
MEM3 100000 500000 1000 146396 146396 0 4870 2LVBQ 35 35 104407306 1625811 496633 69487 84739085 214537112 37786 51 41332521 171918
MEM3 100000 500000 1000 149891 149891 0 5087 2LVBQ 36 36 107297352 1641127 497655 70572 89711246 222463983 37721 0 42172674 176869
MEM3 100000 500000 1000 145532 145532 0 4913 2LVBQ 36 36 105208190 1599839 485656 75971 87411805 216803900 38070 0 41206180 173837
MEM3 100000 500000 1000 146000 146000 0 5003 2LVBQ 35 35 104559775 1603696 488457 69877 85938541 214790585 38521 0 41275327 174382
MEM3 100000 500000 1000 145683 145683 0 5012 2LVBQ 37 37 105245381 1590767 492710 81496 86329081 209295899 40771 592 41347046 175198
MEM3 100000 500000 1000 146052 146052 0 4920 2LVBQ 35 35 105244724 1593340 482812 69147 87498318 218925643 38843 0 42084182 176372
MEM3 100000 500000 1000 146013 146013 0 4731 2LVBQ 35 35 105249697 1610396 486796 67468 86825819 219668403 39599 18 42376621 180026
MEM3 100000 500000 1000 145441 145441 0 4807 2LVBQ 36 36 103855836 1588954 488970 72978 88882963 216732491 37722 631 41072436 174660
MEM3 100000 500000 1000 149560 149560 0 710 3LVBQ 41 41 134123398 1572539 480202 74501 108315521 283748096 44408 188 49099529 203610
MEM3 100000 500000 1000 149306 149306 0 737 3LVBQ 42 42 132605519 1581927 488517 80601 104967483 286581331 35856 68 48830703 186423
MEM3 100000 500000 1000 149149 149149 0 747 3LVBQ 41 41 132566763 1599187 503757 77333 96389451 265320541 34073 3 48195086 192791
MEM3 100000 500000 1000 149471 149471 0 712 3LVBQ 42 42 137639020 1637265 488386 77192 97534727 268058264 38798 139 49374963 195508
MEM3 100000 500000 1000 149228 149228 0 737 3LVBQ 42 42 138201238 1590377 485488 76740 103784033 285725607 42550 156 50274838 192142
MEM3 100000 500000 1000 149152 149152 0 734 3LVBQ 42 42 136333912 1575309 484208 77014 105935389 290137016 41410 787 50258104 192208
MEM3 100000 500000 1000 149255 149255 0 701 3LVBQ 41 41 132073354 1609037 492922 75754 107642165 293718441 38416 110 48739135 189730
MEM3 100000 500000 1000 149215 149215 0 759 3LVBQ 41 41 133427663 1585295 492943 74900 95847862 258261931 42595 135 48058629 195599
MEM3 100000 500000 1000 149221 149221 0 680 3LVBQ 41 41 134029151 1632978 482207 73424 94470158 253319982 35983 64 48146631 194193
MEM3 100000 500000 1000 149462 149462 0 731 3LVBQ 41 41 136616428 1662716 491278 72321 99233056 282516916 36781 137 49966542 190709
MEM3 100000 500000 1000 149857 149857 0 791 4LVBQ 47 47 151110948 1650377 501789 82603 115961954 316311663 42263 511 54125676 206172
MEM3 100000 500000 1000 150047 150047 0 816 4LVBQ 47 47 156689674 1676154 501282 76359 113564263 324622171 39903 356 55495625 202991
MEM3 100000 500000 1000 150528 150528 0 746 4LVBQ 47 47 153726834 1641090 511850 78750 108623035 302880996 37551 905 53680639 208485
MEM3 100000 500000 1000 150809 150809 0 810 4LVBQ 47 47 155192902 1642455 478292 76974 117219164 322947425 42708 337 54667359 215375
MEM3 100000 500000 1000 149918 149918 0 777 4LVBQ 47 47 153435849 1664958 488506 75904 110316038 310173346 40423 320 54547104 219804
MEM3 100000 500000 1000 150087 150087 0 787 4LVBQ 48 48 150317094 1627570 514795 77123 115422898 316183116 39354 927 54124261 214234
MEM3 100000 500000 1000 150422 150422 0 797 4LVBQ 46 46 154483366 1660882 502860 72295 112688593 313293714 41347 293 54791204 212191
MEM3 100000 500000 1000 149702 149702 0 794 4LVBQ 47 47 154893821 1664003 493166 87699 107381333 292794458 41165 320 54818255 206882
MEM3 100000 500000 1000 150435 150435 0 790 4LVBQ 47 47 154610019 1594141 484044 78554 116451401 316781585 45954 921 54756049 212502
MEM3 100000 500000 1000 150195 150195 0 784 4LVBQ 46 46 154532596 1651011 490505 78357 114693523 322385125 41893 315 55086338 201657
MEM3 100000 500000 1000 144866 144866 0 1447 5LVBQ 54 54 186858123 1733364 520780 78040 127602077 381358252 37311 582 64674093 201745
MEM3 100000 500000 1000 144838 144838 0 1409 5LVBQ 53 53 186342877 1734274 489434 77008 128019912 369601061 42081 414 64163999 214691
MEM3 100000 500000 1000 144731 144731 0 1441 5LVBQ 55 55 190517160 1726136 488295 82801 134567779 380079883 44829 1036 65204125 219728
MEM3 100000 500000 1000 144974 144974 0 1485 5LVBQ 53 54 186674563 1745398 506654 78085 128462344 386587745 37042 469 64990956 198661
MEM3 100000 500000 1000 144871 144871 0 1445 5LVBQ 54 54 187937693 1749098 495786 78865 128448346 387532211 40497 441 64833219 217950
MEM3 100000 500000 1000 145004 145004 0 1463 5LVBQ 55 55 188257202 1758350 500307 78232 128711164 376542206 40955 690 65651152 235246
MEM3 100000 500000 1000 144601 144601 0 1459 5LVBQ 54 54 187362120 1710570 508514 77416 128588845 376562785 42610 460 65076918 216686
MEM3 100000 500000 1000 144855 144855 0 1467 5LVBQ 55 55 184999562 1749517 493787 86663 132302620 382606121 39652 502 64863997 220728
MEM3 100000 500000 1000 144778 144778 0 1449 5LVBQ 54 54 188272718 1729155 494859 79670 130903369 376454640 43189 386 64777305 220351
MEM3 100000 500000 1000 144367 144367 0 1462 5LVBQ 53 53 187455888 1740046 496801 77443 125708259 378030701 40442 529 64809751 218747
MEM3 100000 500000 1000 144941 144941 0 1448 6LVBQ 55 55 186170160 1747726 496160 84217 130223033 370233610 44036 580 64463456 217203
MEM3 100000 500000 1000 144974 144974 0 1485 6LVBQ 55 55 189060418 1749883 495736 78246 134253990 384837433 38630 381 64509077 213704
MEM3 100000 500000 1000 144796 144796 0 1443 6LVBQ 55 55 187407703 1711906 500073 77944 132256559 378584797 40756 1013 64218205 216913
MEM3 100000 500000 1000 144854 144854 0 1489 6LVBQ 54 54 188083840 1799060 495759 75476 128358607 387526560 38109 434 65302776 203132
MEM3 100000 500000 1000 144729 144729 0 1487 6LVBQ 57 57 183067172 1717057 496065 104674 134884342 387900642 42646 301 63732946 198926
MEM3 100000 500000 1000 145002 145002 0 1499 6LVBQ 55 55 187878271 1749715 505264 81818 133699486 391027725 34683 990 64794219 208137
MEM3 100000 500000 1000 144879 144879 0 1464 6LVBQ 55 55 188454338 1728353 499825 81037 128582073 373872753 39893 419 64831100 213548
MEM3 100000 500000 1000 144763 144763 0 1474 6LVBQ 55 55 185019961 1766258 498722 77801 131863657 383933253 37322 427 64709742 209727
MEM3 100000 500000 1000 144531 144531 0 1494 6LVBQ 54 54 184565259 1710260 492818 75582 129409896 370609616 41636 316 63951091 213315
MEM3 100000 500000 1000 144432 144432 0 1477 6LVBQ 54 54 189886123 1771574 493393 77003 131837917 380612298 41418 354 65026998 215203
MEM3 100000 500000 1000 144722 100000 44722 1773 1LVBQDK 31 31 70768185 2187293 672012 90539 78169760 146989609 54777 348 23472922 179857
MEM3 100000 500000 1000 144641 100000 44641 1783 1LVBQDK 30 30 72349121 2265024 691224 84287 65847867 134321184 44690 0 23991903 175369
MEM3 100000 500000 1000 144882 100000 44882 1978 1LVBQDK 30 30 72357508 2206267 675959 82556 79432597 151735711 54284 0 24248163 179181
MEM3 100000 500000 1000 144576 100000 44576 2011 1LVBQDK 31 31 70005689 2231714 694304 92018 70093410 134007192 47973 209 23407695 173099
MEM3 100000 500000 1000 144734 100000 44734 1913 1LVBQDK 30 30 72640159 2272628 692494 81478 74288870 149558849 47850 0 24320460 180342
MEM3 100000 500000 1000 144692 100000 44692 1843 1LVBQDK 35 35 71379340 2225705 685848 122344 81863849 147129641 50503 0 24138450 179404
MEM3 100000 500000 1000 144690 100000 44690 1922 1LVBQDK 32 32 69954955 2202400 681521 93384 83376584 152225970 58340 0 24086413 183952
MEM3 100000 500000 1000 144915 100000 44915 2223 1LVBQDK 31 31 69841635 2270316 697115 86676 69084543 133987296 47898 0 23358968 173157
MEM3 100000 500000 1000 144755 100000 44755 2512 1LVBQDK 30 30 72565250 2278116 693164 79779 76719084 150394866 49877 0 24274253 179591
MEM3 100000 500000 1000 144922 100000 44922 2106 1LVBQDK 30 30 70261789 2262599 695226 84112 67907812 133587865 44321 0 23376888 173505
MEM3 100000 500000 1000 146112 100607 45505 4941 2LVBQDK 34 34 85520184 2367769 718547 82063 85867340 175084047 52597 315 25816330 184893
MEM3 100000 500000 1000 145559 100373 45186 4978 2LVBQDK 33 33 83466184 2381210 714227 78932 86774428 176449630 56157 16 25542560 181940
MEM3 100000 500000 1000 145689 100354 45335 4940 2LVBQDK 33 33 83802833 2375827 712481 82472 82637443 163250851 55831 0 25631068 177186
MEM3 100000 500000 1000 146539 100619 45920 4995 2LVBQDK 33 33 84210383 2388244 716314 86733 78146646 161041412 51511 0 25638757 177050
MEM3 100000 500000 1000 147354 100825 46529 5135 2LVBQDK 34 34 84844438 2452132 745993 87966 79547858 161464484 45575 0 25705783 179319
MEM3 100000 500000 1000 145053 100220 44833 4883 2LVBQDK 33 33 86369568 2459680 731065 80857 77360630 161082384 43782 0 25688408 176504
MEM3 100000 500000 1000 146515 100596 45919 4940 2LVBQDK 34 34 87106201 2385743 726496 83275 82273273 169294915 46306 0 26512714 179390
MEM3 100000 500000 1000 146916 100774 46142 5113 2LVBQDK 33 33 86170618 2428287 722462 81337 84388208 174038120 52450 0 26615474 183667
MEM3 100000 500000 1000 145738 100293 45445 5004 2LVBQDK 37 37 84042674 2432074 727681 117608 87002516 162498898 52534 0 25083674 180852
MEM3 100000 500000 1000 147795 100897 46898 5051 2LVBQDK 34 34 87445186 2477338 739069 84514 78969552 162680048 47216 0 25744941 178942
MEM3 100000 500000 1000 149674 101654 48020 737 3LVBQDK 37 37 98223825 2317212 712040 90840 87427425 186232400 54848 1238 26836567 201125
MEM3 100000 500000 1000 149262 101645 47617 699 3LVBQDK 37 37 99263213 2246629 730376 94784 89454160 194973092 49737 248 27351546 198134
MEM3 100000 500000 1000 149167 101607 47560 762 3LVBQDK 36 36 98502316 2332911 713960 88893 87933178 181187039 59324 195 27402538 211470
