nome n m c insert extractMin dk bkmp upd fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 298899 298899 0 680345 0 1LVBQ 62 62 185318164 2815021 297549 113842 156273472 385729989 14768 98 72789222 744855
NY 264346 733846 36946 298754 298754 0 720549 0 1LVBQ 63 63 185738609 2797506 287427 118121 156160597 384081725 12439 0 72119270 734501
NY 264346 733846 36946 299157 299157 0 954865 0 1LVBQ 64 64 184347828 2815939 308188 133388 159808549 390985174 11541 0 72065015 736609
NY 264346 733846 36946 298991 298991 0 1150303 0 1LVBQ 62 62 191023594 2866600 273913 100354 155438265 401950868 10808 0 74462608 722794
NY 264346 733846 36946 298716 298716 0 691828 0 1LVBQ 63 63 185013359 2790184 287916 117804 155433120 384088195 12217 0 72281336 738631
NY 264346 733846 36946 299040 299040 0 776171 0 1LVBQ 65 65 183538098 2729128 311785 136043 163400813 392578504 13105 0 72464645 742194
NY 264346 733846 36946 299078 299078 0 1264096 0 1LVBQ 63 63 190422050 2898675 314297 119538 158049961 396652983 9829 0 72717872 728139
NY 264346 733846 36946 298520 298520 0 769930 0 1LVBQ 62 62 186892392 2816426 295856 114434 156693036 388957987 14038 0 73354287 742395
NY 264346 733846 36946 298475 298475 0 820200 0 1LVBQ 62 62 187405108 2820367 292955 116026 156257955 389345388 13307 0 73156181 740405
NY 264346 733846 36946 299441 299441 0 819686 0 1LVBQ 63 63 185961382 2831114 300014 119198 157682981 387374085 13185 0 72487437 744774
NY 264346 733846 36946 299433 299433 0 1124440 4588 2LVBQ 66 66 238239763 1954197 168925 84910 170007717 498328134 7019 0 93300152 626112
NY 264346 733846 36946 298615 298615 0 1097633 4491 2LVBQ 69 69 238487907 1961115 187193 108814 179327172 516253805 8122 0 94232588 644882
NY 264346 733846 36946 298748 298748 0 1022405 4144 2LVBQ 67 67 233950500 2028485 192436 102856 173892814 498080862 9043 0 91875364 637486
NY 264346 733846 36946 298375 298375 0 906477 3664 2LVBQ 66 66 227358688 2066524 192430 106029 168391384 477592033 10278 0 88682882 625435
NY 264346 733846 36946 298859 298859 0 882636 3644 2LVBQ 64 64 225801547 2096850 177464 90689 163543569 476536579 9486 0 89222787 619129
NY 264346 733846 36946 298994 298994 0 989223 4040 2LVBQ 67 67 232779227 2052301 189794 107414 177289759 498467877 9680 0 91774521 637946
NY 264346 733846 36946 298639 298639 0 882683 3595 2LVBQ 66 66 227085713 2078734 194975 109197 171484643 483881134 9843 0 89491400 627894
