nome n m c fila run l1 l2 llc cycles inst
NY 264346 733846 36946 BINH 212 2282354 1113077 113176 949773676 2653683718
NY 264346 733846 36946 BINH 213 2257437 1104738 111952 958366252 2653679198
NY 264346 733846 36946 BINH 212 2283957 1121149 112447 947152037 2653690696
NY 264346 733846 36946 BINH 214 2293844 1121992 111556 959102432 2653691042
NY 264346 733846 36946 BINH 212 2320663 1150452 110389 948291267 2653691059
NY 264346 733846 36946 BINH 212 2324318 1146851 110311 948014437 2653690272
NY 264346 733846 36946 BINH 213 2355429 1157122 110048 951434687 2653690667
NY 264346 733846 36946 BINH 214 2354615 1156071 110724 961267507 2653690437
NY 264346 733846 36946 BINH 213 2365993 1155615 109501 948324679 2653690277
NY 264346 733846 36946 BINH 212 2331537 1148807 110600 951829965 2653690707
NY 264346 733846 36946 2LVBQ 83 2594683 1264725 109802 373620186 924072895
NY 264346 733846 36946 2LVBQ 82 2599150 1281674 111651 369656171 924084620
NY 264346 733846 36946 2LVBQ 83 2630353 1304938 107714 376032413 924079066
NY 264346 733846 36946 2LVBQ 83 2633027 1312867 111293 374929706 924080031
NY 264346 733846 36946 2LVBQ 84 2649831 1314538 111688 378052037 924080718
NY 264346 733846 36946 2LVBQ 83 2641615 1314080 110742 373063367 924080355
NY 264346 733846 36946 2LVBQ 83 2645295 1315226 109987 373297519 924077023
NY 264346 733846 36946 2LVBQ 82 2632669 1316038 112733 372535971 924081454
NY 264346 733846 36946 2LVBQ 82 2634328 1313097 110961 372611466 924079046
NY 264346 733846 36946 2LVBQ 83 2631967 1311434 111201 373046729 924076348
NY 264346 733846 36946 3LVBQ 99 2246301 1168989 106323 446563371 1142158062
NY 264346 733846 36946 3LVBQ 98 2275813 1185538 104779 442857182 1142172058
NY 264346 733846 36946 3LVBQ 98 2235324 1164379 105897 441086469 1142173305
NY 264346 733846 36946 3LVBQ 98 2251924 1188349 106806 444768376 1142173034
NY 264346 733846 36946 3LVBQ 98 2240812 1164611 103467 440963160 1142173809
NY 264346 733846 36946 3LVBQ 98 2274204 1198489 104885 440610773 1142173483
NY 264346 733846 36946 3LVBQ 97 2266497 1197417 105527 436505562 1142171495
NY 264346 733846 36946 3LVBQ 98 2268311 1201060 108356 441323411 1142175211
NY 264346 733846 36946 3LVBQ 97 2277430 1205142 106181 438787663 1142170223
NY 264346 733846 36946 3LVBQ 98 2252173 1174991 105368 439809481 1142172767
NY 264346 733846 36946 4LVBQ 108 2060939 1117533 105856 484621227 1251865444
NY 264346 733846 36946 4LVBQ 107 2051470 1117296 105511 478161868 1251869988
NY 264346 733846 36946 4LVBQ 107 2037797 1117236 107165 481329918 1251869826
NY 264346 733846 36946 4LVBQ 108 2075260 1140200 107094 482415745 1251868642
NY 264346 733846 36946 4LVBQ 108 2044869 1116875 107710 483773151 1251868214
NY 264346 733846 36946 4LVBQ 107 2076700 1146329 106268 480417071 1251865766
NY 264346 733846 36946 4LVBQ 107 2091792 1148465 105063 477954633 1251867375
NY 264346 733846 36946 4LVBQ 106 2087206 1149141 103761 479656382 1251867611
NY 264346 733846 36946 4LVBQ 108 2086007 1150181 106433 484684705 1251869131
NY 264346 733846 36946 4LVBQ 107 2084922 1149160 104073 479330975 1251869190
NY 264346 733846 36946 2LVBQDK 66 2976321 1232871 115044 295808453 642500282
NY 264346 733846 36946 2LVBQDK 65 2976892 1239059 113010 293765590 642500286
NY 264346 733846 36946 2LVBQDK 65 2991824 1268364 112731 293623685 642499452
NY 264346 733846 36946 2LVBQDK 65 2975752 1251948 113716 293861513 642500094
NY 264346 733846 36946 2LVBQDK 65 2996285 1274499 113283 293235925 642499554
NY 264346 733846 36946 2LVBQDK 64 3000330 1269300 112156 291514267 642499620
NY 264346 733846 36946 2LVBQDK 64 2991159 1268225 111966 292370742 642499458
NY 264346 733846 36946 2LVBQDK 66 2993014 1262361 114419 294405226 642499769
NY 264346 733846 36946 2LVBQDK 66 2986421 1264204 114078 294959398 642499458
NY 264346 733846 36946 2LVBQDK 64 2998638 1263493 112612 293122629 642499789
NY 264346 733846 36946 3LVBQDK 77 2960707 1267820 112711 349375245 777297603
NY 264346 733846 36946 3LVBQDK 76 2979755 1279181 111567 346237408 777297831
NY 264346 733846 36946 3LVBQDK 76 2998981 1306784 112041 346249996 777296965
NY 264346 733846 36946 3LVBQDK 76 2986020 1291179 111922 348483748 777297686
NY 264346 733846 36946 3LVBQDK 76 2992180 1303616 111971 346116572 777297158
NY 264346 733846 36946 3LVBQDK 76 3011127 1313182 113138 347471518 777297322
NY 264346 733846 36946 3LVBQDK 76 3006142 1312297 111524 346620138 777297104
NY 264346 733846 36946 3LVBQDK 76 2999663 1308039 112102 346025466 777297337
NY 264346 733846 36946 3LVBQDK 76 3014085 1311347 111196 345404798 777297172
NY 264346 733846 36946 3LVBQDK 76 3006516 1309468 112844 344674752 777297001
NY 264346 733846 36946 4LVBQDK 83 3007587 1242858 115071 379566204 866841212
NY 264346 733846 36946 4LVBQDK 84 3029450 1258882 115212 379135072 866841453
NY 264346 733846 36946 4LVBQDK 83 3081138 1300229 114307 379300800 866840591
NY 264346 733846 36946 4LVBQDK 83 3086715 1282403 113502 377627960 866841294
NY 264346 733846 36946 4LVBQDK 83 3076450 1298354 112699 378212524 866840766
NY 264346 733846 36946 4LVBQDK 83 3057331 1289146 114717 377427576 866840927
NY 264346 733846 36946 4LVBQDK 83 3062789 1294397 115916 379701929 866840722
NY 264346 733846 36946 4LVBQDK 83 3054587 1291703 114352 378718844 866840958
NY 264346 733846 36946 4LVBQDK 83 3072371 1294421 113786 378057895 866840782
NY 264346 733846 36946 4LVBQDK 83 3040200 1290683 115872 378487005 866840609
NY 264346 733846 36946 FIB 218 2322141 1152892 110902 959627505 2694715188
NY 264346 733846 36946 FIB 219 2261270 1131630 113226 971255438 2694722371
NY 264346 733846 36946 FIB 219 2320270 1158126 111685 968449256 2694722481
NY 264346 733846 36946 FIB 218 2296918 1134444 112040 966579599 2694722357
NY 264346 733846 36946 FIB 218 2329474 1153866 110180 963096091 2694722790
NY 264346 733846 36946 FIB 217 2310632 1146590 112476 959505015 2694722544
NY 264346 733846 36946 FIB 218 2302364 1143494 111368 962412310 2694722100
NY 264346 733846 36946 FIB 218 2309498 1150449 111438 960427624 2694722250
NY 264346 733846 36946 FIB 218 2341810 1154223 110817 964855087 2694722452
NY 264346 733846 36946 FIB 218 2304095 1145502 111567 962182704 2694722594
NY 264346 733846 36946  176 1804361 1061075 109052 787436637 1913853903
NY 264346 733846 36946  177 1807887 1064267 111125 791885179 1913853390
NY 264346 733846 36946  174 1801915 1061681 109528 779548124 1913853192
NY 264346 733846 36946  177 1800613 1059098 110102 788829240 1913853397
NY 264346 733846 36946  177 1808757 1069670 111812 788161455 1913853245
NY 264346 733846 36946  177 1809182 1061035 110600 791359562 1913853400
NY 264346 733846 36946  177 1801292 1060218 109961 787413074 1913853242
NY 264346 733846 36946  177 1806163 1061770 109698 786294274 1913853405
NY 264346 733846 36946  176 1806133 1063620 109267 784388092 1913853236
NY 264346 733846 36946  176 1808254 1060114 109461 783293507 1913853388
BAY 321270 800172 94305 BINH 261 2631472 1474306 159823 1141367895 3096615382
BAY 321270 800172 94305 BINH 258 2642437 1489666 155975 1128673724 3096624250
BAY 321270 800172 94305 BINH 257 2654629 1492480 158544 1124857423 3096624252
BAY 321270 800172 94305 BINH 256 2695126 1526171 155447 1121280890 3096622886
BAY 321270 800172 94305 BINH 256 2698559 1526291 157785 1119353339 3096624391
BAY 321270 800172 94305 BINH 257 2693258 1527902 158111 1125022887 3096622342
BAY 321270 800172 94305 BINH 258 2673858 1523438 158114 1129814357 3096623930
BAY 321270 800172 94305 BINH 258 2696963 1535146 158183 1125500491 3096623143
BAY 321270 800172 94305 BINH 258 2692719 1528327 156261 1129437807 3096624621
BAY 321270 800172 94305 BINH 259 2691931 1525481 157568 1131715827 3096623039
BAY 321270 800172 94305 2LVBQ 104 3560449 1765091 151709 458710139 1124621267
BAY 321270 800172 94305 2LVBQ 104 3571628 1765237 153812 457394196 1124837198
BAY 321270 800172 94305 2LVBQ 104 3570974 1765362 154885 460402572 1124826203
BAY 321270 800172 94305 2LVBQ 104 3575497 1771641 152230 460622857 1124828409
BAY 321270 800172 94305 2LVBQ 105 3559460 1768511 155407 465345698 1124828529
BAY 321270 800172 94305 2LVBQ 105 3567074 1761522 152842 462649805 1124819111
BAY 321270 800172 94305 2LVBQ 104 3558040 1758271 154438 461468918 1124821544
BAY 321270 800172 94305 2LVBQ 104 3558480 1754855 150765 458810876 1124825455
BAY 321270 800172 94305 2LVBQ 105 3562181 1763488 154636 464148492 1124828627
BAY 321270 800172 94305 2LVBQ 105 3565298 1764864 154264 464567118 1124818078
BAY 321270 800172 94305 3LVBQ 121 2634630 1564314 149080 536718636 1357688692
BAY 321270 800172 94305 3LVBQ 121 2634800 1564429 146444 532344685 1357690028
BAY 321270 800172 94305 3LVBQ 121 2629256 1565532 148300 534742379 1357689898
BAY 321270 800172 94305 3LVBQ 120 2647048 1562639 146021 530992492 1357692133
BAY 321270 800172 94305 3LVBQ 121 2616477 1565191 152182 532523809 1357691415
BAY 321270 800172 94305 3LVBQ 120 2630813 1561542 147839 531382998 1357692347
BAY 321270 800172 94305 3LVBQ 121 2654842 1576034 145766 533309354 1357694610
BAY 321270 800172 94305 3LVBQ 121 2639030 1567419 145644 532001185 1357691475
BAY 321270 800172 94305 3LVBQ 120 2648437 1567292 147626 527960097 1357693490
BAY 321270 800172 94305 3LVBQ 121 2649407 1575451 150338 532994140 1357694789
BAY 321270 800172 94305 4LVBQ 128 2551363 1613580 155407 562599136 1424951615
BAY 321270 800172 94305 4LVBQ 126 2527568 1600935 153485 556699342 1424972571
BAY 321270 800172 94305 4LVBQ 127 2529935 1611546 158492 558776631 1424978435
BAY 321270 800172 94305 4LVBQ 128 2591461 1630169 151646 560926437 1424977517
BAY 321270 800172 94305 4LVBQ 128 2546008 1618047 160238 562522454 1424977042
BAY 321270 800172 94305 4LVBQ 127 2546430 1604492 152986 558300729 1424972569
BAY 321270 800172 94305 4LVBQ 128 2547091 1607460 154973 559253947 1424973395
BAY 321270 800172 94305 4LVBQ 128 2542421 1608349 158258 561904687 1424969893
BAY 321270 800172 94305 4LVBQ 128 2547546 1607535 152615 557495637 1424973254
BAY 321270 800172 94305 4LVBQ 127 2619157 1639905 153838 556922315 1424975409
BAY 321270 800172 94305 2LVBQDK 79 3733826 1742454 165522 353231951 736821492
BAY 321270 800172 94305 2LVBQDK 79 3693908 1707477 165559 353318997 736822909
BAY 321270 800172 94305 2LVBQDK 78 3743508 1748015 164394 352112967 736821989
BAY 321270 800172 94305 2LVBQDK 79 3715290 1723900 163496 351903357 736822611
BAY 321270 800172 94305 2LVBQDK 79 3722226 1739067 167380 354246915 736822121
BAY 321270 800172 94305 2LVBQDK 79 3730645 1737126 165031 352324620 736822054
BAY 321270 800172 94305 2LVBQDK 78 3737532 1748449 167295 351620152 736821836
BAY 321270 800172 94305 2LVBQDK 78 3747338 1753888 165273 350969205 736822174
BAY 321270 800172 94305 2LVBQDK 79 3734680 1742655 166300 353508369 736822068
BAY 321270 800172 94305 2LVBQDK 79 3737816 1745790 164445 353495791 736822184
BAY 321270 800172 94305 3LVBQDK 94 3457765 1708378 171234 418795604 910272772
BAY 321270 800172 94305 3LVBQDK 95 3487553 1730883 167349 420397329 910273068
BAY 321270 800172 94305 3LVBQDK 93 3528096 1767967 168584 416566596 910272226
BAY 321270 800172 94305 3LVBQDK 94 3494902 1743462 167443 420030725 910272736
BAY 321270 800172 94305 3LVBQDK 93 3523738 1764506 168233 418510624 910272123
BAY 321270 800172 94305 3LVBQDK 94 3529572 1773353 167723 420596326 910272174
BAY 321270 800172 94305 3LVBQDK 93 3533158 1772144 167673 417588009 910271973
BAY 321270 800172 94305 3LVBQDK 94 3519575 1765666 170678 421659502 910272325
BAY 321270 800172 94305 3LVBQDK 93 3533652 1774706 169430 418095935 910272167
BAY 321270 800172 94305 3LVBQDK 95 3529461 1773208 170629 422617796 910272330
BAY 321270 800172 94305 4LVBQDK 100 3568719 1713582 166907 442217228 969031059
BAY 321270 800172 94305 4LVBQDK 99 3585325 1733251 167298 439832205 969031346
BAY 321270 800172 94305 4LVBQDK 98 3613246 1761992 166900 439699118 969030504
BAY 321270 800172 94305 4LVBQDK 99 3613778 1755853 167794 438484639 969031025
BAY 321270 800172 94305 4LVBQDK 99 3633368 1773071 166745 439333464 969030409
BAY 321270 800172 94305 4LVBQDK 99 3628472 1769596 167438 438855508 969030454
BAY 321270 800172 94305 4LVBQDK 99 3620971 1764176 168305 439428076 969030260
BAY 321270 800172 94305 4LVBQDK 99 3627646 1763178 166615 439482800 969030610
BAY 321270 800172 94305 4LVBQDK 99 3624925 1767272 166992 439480582 969030461
BAY 321270 800172 94305 4LVBQDK 99 3623960 1762298 168038 439548819 969030604
