nome n m c fila run l1 l2 llc cycles inst
NY 264346 733846 36946 2LVBQDK 71 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 71 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 70 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 70 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 70 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 70 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 69 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 70 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 70 0 0 0 0 0
NY 264346 733846 36946 2LVBQDK 69 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 83 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 82 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 81 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 81 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 81 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 82 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 82 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 81 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 81 0 0 0 0 0
NY 264346 733846 36946 1LVBQ 81 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 BINH 112 0 0 0 0 0
NY 264346 733846 36946 BINH 112 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 BINH 111 0 0 0 0 0
NY 264346 733846 36946 FIB 189 0 0 0 0 0
NY 264346 733846 36946 FIB 189 0 0 0 0 0
NY 264346 733846 36946 FIB 189 0 0 0 0 0
NY 264346 733846 36946 FIB 190 0 0 0 0 0
NY 264346 733846 36946 FIB 190 0 0 0 0 0
NY 264346 733846 36946 FIB 190 0 0 0 0 0
NY 264346 733846 36946 FIB 190 0 0 0 0 0
NY 264346 733846 36946 FIB 190 0 0 0 0 0
NY 264346 733846 36946 FIB 191 0 0 0 0 0
NY 264346 733846 36946 FIB 190 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 84 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 83 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 83 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 83 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 83 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 83 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 83 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 98 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 86 0 0 0 0 0
BAY 321270 800172 94305 2LVBQDK 84 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 104 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 102 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 102 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 105 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 104 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 103 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 102 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 102 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 102 0 0 0 0 0
BAY 321270 800172 94305 1LVBQ 102 0 0 0 0 0
BAY 321270 800172 94305 BINH 130 0 0 0 0 0
BAY 321270 800172 94305 BINH 129 0 0 0 0 0
BAY 321270 800172 94305 BINH 129 0 0 0 0 0
BAY 321270 800172 94305 BINH 132 0 0 0 0 0
BAY 321270 800172 94305 BINH 130 0 0 0 0 0
BAY 321270 800172 94305 BINH 129 0 0 0 0 0
