nome n m c fila run l1 l2 llc cycles inst
NY 264346 733846 36946 BINH 323 2295265 1165176 130815 962445794 2653683154
NY 264346 733846 36946 BINH 323 2286725 1160760 127785 964258160 2653679220
NY 264346 733846 36946 BINH 318 2287164 1127357 117221 950599970 2653689769
NY 264346 733846 36946 BINH 318 2303182 1144017 115537 951318454 2653689558
NY 264346 733846 36946 BINH 326 2408627 1306379 138954 974069770 2653688415
NY 264346 733846 36946 BINH 328 2436402 1329458 135792 980712779 2653688447
NY 264346 733846 36946 BINH 347 2527540 1378804 169012 1034194626 2653688764
NY 264346 733846 36946 BINH 317 2340029 1179045 122946 949744448 2653688563
NY 264346 733846 36946 BINH 316 2319184 1164501 116025 947284678 2653688404
NY 264346 733846 36946 BINH 315 2337822 1170692 116187 943862126 2653688768
NY 264346 733846 36946 1LVBQ 124 3776813 2392581 153364 354994899 739548478
NY 264346 733846 36946 1LVBQ 120 3742781 2378606 148706 349182921 738368337
NY 264346 733846 36946 1LVBQ 120 3751121 2384258 146445 347827735 738461885
NY 264346 733846 36946 1LVBQ 119 3775026 2409298 146499 348019729 738367589
NY 264346 733846 36946 1LVBQ 120 3740657 2369064 145884 348241661 738368193
NY 264346 733846 36946 1LVBQ 120 3783116 2406515 143891 349246769 738368738
NY 264346 733846 36946 1LVBQ 120 3734988 2374729 148028 348583613 738368551
NY 264346 733846 36946 1LVBQ 119 3763741 2400919 142380 346726855 738367637
NY 264346 733846 36946 1LVBQ 120 3756844 2391922 142817 349406086 738368333
NY 264346 733846 36946 1LVBQ 118 3767939 2402537 144014 345829229 738367729
NY 264346 733846 36946 1LVBQDK 6498 253454546 389628575 13288992 18144057478 32492663313
NY 264346 733846 36946 1LVBQDK 6465 255480851 390356361 12865687 18093272952 32492663571
NY 264346 733846 36946 1LVBQDK 6450 255711890 391080717 12543575 18088594966 32492662717
NY 264346 733846 36946 1LVBQDK 6484 253676250 390018542 12771093 18154714052 32492663383
NY 264346 733846 36946 1LVBQDK 6423 254403111 390579133 12445569 18010476706 32492662847
NY 264346 733846 36946 1LVBQDK 6407 254007344 390549489 12353806 17967962758 32492662737
NY 264346 733846 36946 1LVBQDK 6495 252660874 389378598 13123938 18104288125 32492662601
NY 264346 733846 36946 1LVBQDK 7478 253152593 370033497 21595471 20113898042 32492664104
NY 264346 733846 36946 1LVBQDK 7136 253037098 377022406 19781206 19383264915 32492663619
NY 264346 733846 36946 1LVBQDK 6397 253584170 389031742 12676468 17940368921 32492662850
NY 264346 733846 36946  261 1800470 1070821 116878 782220336 1913852980
NY 264346 733846 36946  262 1770524 1046123 114084 783301600 1913854100
NY 264346 733846 36946  262 1771942 1043912 112856 781711407 1913854073
NY 264346 733846 36946  260 1799615 1068168 111064 778790950 1913853318
NY 264346 733846 36946  260 1807764 1068398 111132 779724439 1913853408
NY 264346 733846 36946  261 1811530 1078185 117032 782431852 1913853319
NY 264346 733846 36946  261 1806281 1069872 116001 780408611 1913853408
NY 264346 733846 36946  261 1799692 1070959 112071 782365939 1913853320
NY 264346 733846 36946  263 1809505 1079603 119505 787341684 1913853412
NY 264346 733846 36946  260 1807843 1070967 112648 777962815 1913853317
BAY 321270 800172 94305 BINH 376 2641765 1483503 177857 1122662232 3096615446
BAY 321270 800172 94305 BINH 374 2659012 1480855 169402 1118291335 3096624617
BAY 321270 800172 94305 BINH 375 2649870 1474801 170886 1119067735 3096624022
BAY 321270 800172 94305 BINH 373 2669047 1530028 162985 1116741777 3096623234
BAY 321270 800172 94305 BINH 375 2703050 1539283 163777 1123787968 3096624674
BAY 321270 800172 94305 BINH 375 2677516 1535102 163431 1121113069 3096622237
BAY 321270 800172 94305 BINH 374 2681608 1528560 160289 1117907269 3096623771
BAY 321270 800172 94305 BINH 374 2700443 1542157 160022 1119102959 3096623402
BAY 321270 800172 94305 BINH 375 2713096 1546306 157163 1120911278 3096624071
BAY 321270 800172 94305 BINH 375 2683404 1537585 159615 1121802280 3096622761
BAY 321270 800172 94305 1LVBQ 151 4554593 3202612 226075 434210098 894928888
BAY 321270 800172 94305 1LVBQ 147 4497888 3180521 211294 423990085 894090364
BAY 321270 800172 94305 1LVBQ 148 4538237 3216963 217047 427491177 894148030
BAY 321270 800172 94305 1LVBQ 148 4539314 3217575 220157 428563648 894079904
BAY 321270 800172 94305 1LVBQ 150 4537055 3235927 220976 432146073 894079954
BAY 321270 800172 94305 1LVBQ 149 4532566 3200289 225020 431528007 894080693
BAY 321270 800172 94305 1LVBQ 148 4534753 3205262 224240 429988842 894080128
BAY 321270 800172 94305 1LVBQ 150 4516236 3207103 218494 431800522 894080948
BAY 321270 800172 94305 1LVBQ 151 4533530 3184737 239030 432697077 894079899
BAY 321270 800172 94305 1LVBQ 149 4524955 3207736 231673 430520928 894080499
