nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 297999 297999 0 1071955 1LVBQ 66 66 188417278 2890181 310887 120900 165716561 404042615 14661 671 73249735 737473
NY 264346 733846 36946 299023 299023 0 979468 1LVBQ 66 66 187625287 2797370 317301 146966 169389078 400337312 13881 0 72423312 735286
NY 264346 733846 36946 297844 297844 0 1260740 1LVBQ 66 66 192384667 2859114 299551 123832 165258360 407740417 14090 0 73545106 722157
NY 264346 733846 36946 298907 298907 0 802960 1LVBQ 67 67 187496149 2799633 318783 144894 170280346 399659521 16590 0 72974579 760635
NY 264346 733846 36946 298957 298957 0 745503 1LVBQ 67 67 186353617 2780933 314628 143451 170557339 397962839 16701 0 72395055 750901
NY 264346 733846 36946 299136 299136 0 886998 1LVBQ 66 66 187765064 2786351 313559 144196 169325878 399777562 13224 0 73204072 758026
NY 264346 733846 36946 298196 298196 0 756392 1LVBQ 66 66 186702775 2772530 316637 140190 165671766 398916425 18190 0 73080215 746744
NY 264346 733846 36946 298737 298737 0 840774 1LVBQ 64 64 184702175 2790497 290089 116173 158656251 391466116 14496 0 72449609 725326
NY 264346 733846 36946 299233 299233 0 1123527 1LVBQ 66 66 189459529 2838190 309143 131776 167839073 403270246 13185 0 72903553 739248
NY 264346 733846 36946 299216 299216 0 1040942 1LVBQ 66 66 188295410 2824240 309359 137310 169591237 401684351 12604 0 72764852 743406
NY 264346 733846 36946 298788 298788 0 906158 2LVBQ 69 69 229519229 2050489 199155 117547 175825513 488632918 10133 0 89350042 630000
NY 264346 733846 36946 298785 298785 0 870805 2LVBQ 67 67 227240584 2076304 180487 98703 171215995 483782902 10719 0 89422798 621461
NY 264346 733846 36946 298986 298986 0 991125 2LVBQ 70 70 234183457 2062110 191939 106799 173024115 495818070 10049 0 91646366 640889
NY 264346 733846 36946 299271 299271 0 974433 2LVBQ 69 69 233304652 2051549 181534 102579 172881836 498696295 9277 0 92130123 633563
NY 264346 733846 36946 299488 299488 0 1233107 2LVBQ 71 71 246300426 1906253 165520 91699 173181488 511404954 7126 0 96322175 629273
NY 264346 733846 36946 299078 299078 0 1310427 2LVBQ 71 71 250865129 1898942 170806 95132 175154387 517503456 6770 0 97410066 635418
NY 264346 733846 36946 297945 297945 0 1183453 2LVBQ 70 70 244071945 1975801 158613 83986 172344161 508918123 8058 0 96039894 624491
NY 264346 733846 36946 298442 298442 0 944345 2LVBQ 69 69 231405534 2039816 193596 108067 172526468 494120841 11067 0 90288780 627151
NY 264346 733846 36946 299089 299089 0 1199813 2LVBQ 71 71 244148246 1937684 175390 100870 171799644 499248202 7182 0 95476587 634440
NY 264346 733846 36946 298679 298679 0 1131825 2LVBQ 71 71 242073479 1917876 188050 109924 172116424 496242810 8881 0 94140540 638489
