nome n m c fila run l1 l2 llc cycles
NY 264346 733846 36946 1LVBQ 97 3837301 2715801 142595 280213999
NY 264346 733846 36946 1LVBQ 98 3821983 2701011 143829 280685510
NY 264346 733846 36946 1LVBQ 98 3836836 2711638 142827 281166401
NY 264346 733846 36946 1LVBQ 98 3851540 2720914 145514 282932845
NY 264346 733846 36946 1LVBQ 98 3848520 2720225 143307 282829657
NY 264346 733846 36946 1LVBQ 98 3844095 2723176 143203 284407414
NY 264346 733846 36946 1LVBQ 98 3854736 2724751 142123 281902945
NY 264346 733846 36946 1LVBQ 98 3850370 2733299 143389 282438442
NY 264346 733846 36946 1LVBQ 98 3849690 2735275 142779 281580100
NY 264346 733846 36946 1LVBQ 97 3845169 2702107 146866 280169292
NY 264346 733846 36946 2LVBQ 96 2755132 1389483 108220 280515270
NY 264346 733846 36946 2LVBQ 96 2736638 1381254 106848 281146701
NY 264346 733846 36946 2LVBQ 97 2718078 1372611 107762 281818136
NY 264346 733846 36946 2LVBQ 97 2722886 1371246 105423 282474657
NY 264346 733846 36946 2LVBQ 96 2751697 1402369 105141 281611815
NY 264346 733846 36946 2LVBQ 97 2738315 1383968 110498 282894675
NY 264346 733846 36946 2LVBQ 97 2728281 1367057 109442 281253118
NY 264346 733846 36946 2LVBQ 96 2748167 1393426 110426 281689726
NY 264346 733846 36946 2LVBQ 97 2747636 1393248 108471 283623865
NY 264346 733846 36946 2LVBQ 97 2711513 1370264 108349 283067705
NY 264346 733846 36946 BINH 132 1848892 1064899 104875 392764814
NY 264346 733846 36946 BINH 132 1864865 1077003 105781 392466209
NY 264346 733846 36946 BINH 132 1892611 1102022 106588 392576338
NY 264346 733846 36946 BINH 132 1874030 1082661 105364 389901915
NY 264346 733846 36946 BINH 131 1894302 1091005 103696 388957050
NY 264346 733846 36946 BINH 131 1887309 1097090 108059 391620636
NY 264346 733846 36946 BINH 131 1894906 1096137 104476 391177623
NY 264346 733846 36946 BINH 131 1890178 1093902 105387 391791597
NY 264346 733846 36946 BINH 131 1887739 1085939 105294 389027715
NY 264346 733846 36946 BINH 130 1887888 1087595 104873 387875440
NY 264346 733846 36946 4AH 129 1832276 1062946 107370 381839245
NY 264346 733846 36946 4AH 128 1847693 1075148 106398 379938943
NY 264346 733846 36946 4AH 126 1875366 1097069 104921 376688638
NY 264346 733846 36946 4AH 128 1861294 1091794 106519 379168375
NY 264346 733846 36946 4AH 127 1881147 1110790 106911 379577103
NY 264346 733846 36946 4AH 128 1874589 1107532 106038 380339508
NY 264346 733846 36946 4AH 126 1878772 1100546 104836 376688871
NY 264346 733846 36946 4AH 126 1877904 1083742 105758 375429179
NY 264346 733846 36946 4AH 126 1884814 1091643 104614 376003612
NY 264346 733846 36946 4AH 127 1880321 1100609 107540 377315396
NY 264346 733846 36946 RH 223 1958925 1078969 108941 663551664
NY 264346 733846 36946 RH 222 1965168 1087949 108450 662956335
NY 264346 733846 36946 RH 222 2006585 1127848 110888 664643187
NY 264346 733846 36946 RH 222 1993802 1105647 108032 663240079
NY 264346 733846 36946 RH 222 2008443 1123719 108419 664605502
NY 264346 733846 36946 RH 223 2004735 1124809 110667 665723835
NY 264346 733846 36946 RH 222 2000378 1119184 108722 663414729
NY 264346 733846 36946 RH 222 2003026 1123032 110709 662146488
NY 264346 733846 36946 RH 222 2003595 1119811 108839 663820107
NY 264346 733846 36946 RH 222 2009965 1124298 108908 663719337
NY 264346 733846 36946 FIB 265 1780621 1030090 114469 791738269
