nome n m c BINARY_HEAP FIBONACCI_HEAP DIAL TWO_LV_BKT_HEAP 
NY 264346 733846 36946 105.000000 168.800003 85.699997 81.000000 
BAY 321270 800172 94305 120.300003 203.699997 103.500000 96.699997 
COL 435666 1057066 137384 162.300003 271.700012 162.199997 149.300003 
FLA 1070376 2712798 214013 403.899994 669.099976 381.799988 351.299988 
NW 1207945 2840208 128569 465.100006 804.299988 414.100006 389.799988 
NE 1524453 3897636 63247 691.400024 1148.699951 507.600006 504.500000 
CAL 1890815 4657742 215354 828.400024 1393.500000 726.400024 660.400024 
LKS 2758119 6885658 138911 1207.400024 2050.199951 1007.599976 936.400024 
E 3598623 8778114 200760 1691.500000 2909.899902 1315.900024 1190.400024 
W 6262104 15248146 368855 3078.800049 5399.299805 2478.699951 2153.600098 
CTR 14081816 34292496 214013 8219.299805 15507.900391 6200.399902 5508.899902 
USA 23947347 58333344 368855 12432.099609 23210.699219 9594.200195 8539.500000 
